리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
636,41,레드 블레미쉬 클리어 수딩 크림 EX,행복한나비381,건성,"민감성, 여드름",2026.04.19,5,흡수가 빨라서 좋아요. 가볍게 발려요. 재구매 의사 있어요!,"산뜻함, 빠른 흡수, 가벼움",4.23,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link,,
637,41,레드 블레미쉬 클리어 수딩 크림 EX,자유로운고양이276,복합성,민감성,2025.10.13,5,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"빠른 흡수, 산뜻함, 수분감, 가벼움",4.23,https://drive.google.com/file/d/1x9l_Te_AvoJlghVrq0oifo1qMtyM1RHr/view?usp=drive_link,,
638,41,레드 블레미쉬 클리어 수딩 크림 EX,평범한판다846,복합성,"민감성, 여드름",2026.01.27,5,흡수가 빨라서 좋아요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"수분감, 빠른 흡수, 가벼움, 산뜻함",4.23,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,
639,41,레드 블레미쉬 클리어 수딩 크림 EX,조용한사자588,복합성,"보습, 여드름, 민감성",2025.04.26,4,흡수가 빨라서 좋아요. 재구매 의사 있어요!,"가벼움, 빠른 흡수, 산뜻함, 수분감",4.23,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,,
640,41,레드 블레미쉬 클리어 수딩 크림 EX,잠많은고슴도치575,건성,"민감성, 보습",2026.06.15,4,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"산뜻함, 가벼움, 수분감",4.23,https://drive.google.com/file/d/1x9l_Te_AvoJlghVrq0oifo1qMtyM1RHr/view?usp=drive_link,https://drive.google.com/file/d/1lYUCzB6Ho7zOd6u8PeOXRLaq3KeVrP27/view?usp=drive_link,
641,41,레드 블레미쉬 클리어 수딩 크림 EX,익명의라쿤272,건성,보습,2025.06.09,5,흡수가 빨라서 좋아요. 가볍게 발려요.,"수분감, 산뜻함, 빠른 흡수, 가벼움",4.23,https://drive.google.com/file/d/1lYUCzB6Ho7zOd6u8PeOXRLaq3KeVrP27/view?usp=drive_link,,
642,41,레드 블레미쉬 클리어 수딩 크림 EX,배부른곰돌이697,건성,"보습, 여드름",2026.05.20,3,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 흡수가 빨라서 좋아요.,"빠른 흡수, 가벼움, 산뜻함, 수분감",4.23,https://drive.google.com/file/d/1cz-lQ-DSVNouwbDl__2tcXET35ZPN41J/view?usp=drive_link,,
643,41,레드 블레미쉬 클리어 수딩 크림 EX,조용한해달715,복합성,"민감성, 여드름, 미백/잡티",2025.10.12,3,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 나쁘지 않아요.,"수분감, 빠른 흡수, 산뜻함, 가벼움",4.23,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,,
644,41,레드 블레미쉬 클리어 수딩 크림 EX,배부른병아리352,복합성,"보습, 여드름",2026.03.10,4,산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 수분감, 빠른 흡수",4.23,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,,
645,41,레드 블레미쉬 클리어 수딩 크림 EX,씩씩한해달558,복합성,여드름,2026.09.03,4,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"가벼움, 산뜻함, 수분감, 빠른 흡수",4.23,,,
646,41,레드 블레미쉬 클리어 수딩 크림 EX,행복한두더지617,복합성,보습,2025.12.26,5,산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요. 가볍게 발려요.,"수분감, 산뜻함, 빠른 흡수, 가벼움",4.23,,,
647,41,레드 블레미쉬 클리어 수딩 크림 EX,새침한고양이408,건성,없음,2025.05.13,4,가볍게 발려요. 산뜻하게 발려서 좋아요. 재구매는 고민중이에요.,"산뜻함, 가벼움",4.23,,,
648,41,레드 블레미쉬 클리어 수딩 크림 EX,자유로운고래577,건성,"여드름, 민감성",2025.06.05,3,흡수가 빨라서 좋아요. 가볍게 발려요.,"가벼움, 산뜻함, 빠른 흡수",4.23,https://drive.google.com/file/d/1UrD3JSDNPqJrt425mPP5hXvrRIgLiWll/view?usp=drive_link,https://drive.google.com/file/d/1YGnjAS_0imBEvyixy1Q7HYkGfoPru6OX/view?usp=drive_link,
649,41,레드 블레미쉬 클리어 수딩 크림 EX,말랑한라쿤908,복합성,보습,2026.09.12,4,'레드 블레미쉬 클리어 수딩 크림 EX' 사용 후기예요. 산뜻하게 발려서 좋아요.,"가벼움, 빠른 흡수, 산뜻함",4.23,,,
650,42,더마 배리어 P 크림,엉뚱발랄한고슴도치637,수부지,"미백/잡티, 보습",2025.02.13,5,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 다음에도 또 살 것 같아요.,"빠른 흡수, 발림성, ",4.56,https://drive.google.com/file/d/1UrD3JSDNPqJrt425mPP5hXvrRIgLiWll/view?usp=drive_link,,
651,42,더마 배리어 P 크림,조용한고슴도치559,건성,"탄력/주름, 미백/잡티",2025.05.02,5,흡수가 빨라서 좋아요. 만족스러운 소비였어요.,", 발림성, 빠른 흡수",4.56,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,,
652,42,더마 배리어 P 크림,행복한벌새124,건성,"보습, 탄력/주름",2026.06.28,3,'더마 배리어 P 크림' 사용 후기예요. 나쁘지 않아요.,"빠른 흡수, 발림성, ",4.56,https://drive.google.com/file/d/1SUqbqJR8Y1pLJ2Ky20fDAm7n_XeyZ3Tu/view?usp=drive_link,https://drive.google.com/file/d/1YGnjAS_0imBEvyixy1Q7HYkGfoPru6OX/view?usp=drive_link,
653,42,더마 배리어 P 크림,활발한두더지807,수부지,미백/잡티,2025.01.02,4,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,", 발림성, 빠른 흡수",4.56,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link,https://drive.google.com/file/d/1YGnjAS_0imBEvyixy1Q7HYkGfoPru6OX/view?usp=drive_link,https://drive.google.com/file/d/1lYUCzB6Ho7zOd6u8PeOXRLaq3KeVrP27/view?usp=drive_link
654,42,더마 배리어 P 크림,평범한나비265,건성,"탄력/주름, 보습",2025.06.14,5,'더마 배리어 P 크림' 사용 후기예요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,", 빠른 흡수, 발림성",4.56,https://drive.google.com/file/d/1lYUCzB6Ho7zOd6u8PeOXRLaq3KeVrP27/view?usp=drive_link,,
655,42,더마 배리어 P 크림,든든한고래957,건성,"탄력/주름, 보습, 미백/잡티",2025.10.06,5,'더마 배리어 P 크림' 사용 후기예요. 흡수가 빨라서 좋아요. 발림성이 정말 좋아요.,", 발림성, 빠른 흡수",4.56,,,
656,42,더마 배리어 P 크림,잠많은여우144,건성,보습,2026.08.01,5,발림성이 정말 좋아요. 흡수가 빨라서 좋아요.,"빠른 흡수, 발림성, ",4.56,,,
657,42,더마 배리어 P 크림,게으른하마782,건성,"보습, 미백/잡티, 여드름",2025.09.12,5,'더마 배리어 P 크림' 사용 후기예요. 발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"빠른 흡수, , 발림성",4.56,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,https://drive.google.com/file/d/1UrD3JSDNPqJrt425mPP5hXvrRIgLiWll/view?usp=drive_link,
658,42,더마 배리어 P 크림,소심한하마682,수부지,미백/잡티,2025.05.17,4,'더마 배리어 P 크림' 사용 후기예요. 발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,", 발림성, 빠른 흡수",4.56,,,
659,43,데일리 페이셜 크림,든든한고래52,건성,보습,2025.09.26,4,재구매 의사 있어요!,"발림성, , 빠른 흡수",4.42,https://drive.google.com/file/d/1UrD3JSDNPqJrt425mPP5hXvrRIgLiWll/view?usp=drive_link,,
660,43,데일리 페이셜 크림,촉촉한고슴도치101,건성,보습,2026.07.21,5,발림성이 정말 좋아요. 흡수가 빨라서 좋아요.,", 빠른 흡수, 발림성",4.42,,,
661,43,데일리 페이셜 크림,든든한하마759,건성,"보습, 민감성",2025.01.13,5,'데일리 페이셜 크림' 사용 후기예요. 발림성이 정말 좋아요. 만족스러운 소비였어요.,", 발림성",4.42,,,
662,43,데일리 페이셜 크림,명랑한나비170,건성,보습,2025.08.11,5,발림성이 정말 좋아요. 만족스러운 소비였어요.,"발림성, 빠른 흡수, ",4.42,,,
663,43,데일리 페이셜 크림,촉촉한거북이228,건성,보습,2026.02.10,5,흡수가 빨라서 좋아요. 재구매 의사 있어요!,"발림성, 빠른 흡수",4.42,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,
664,43,데일리 페이셜 크림,느긋한고양이597,건성,보습,2025.09.23,4,'데일리 페이셜 크림' 사용 후기예요. 흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 재구매 의사 있어요!,", 빠른 흡수, 발림성",4.42,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,,
665,43,데일리 페이셜 크림,부지런한곰돌이121,건성,보습,2026.02.26,4,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 재구매 의사 있어요!,"발림성, , 빠른 흡수",4.42,,,
666,43,데일리 페이셜 크림,익명의사자59,건성,없음,2026.08.30,5,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,", 발림성, 빠른 흡수",4.42,https://drive.google.com/file/d/1SUqbqJR8Y1pLJ2Ky20fDAm7n_XeyZ3Tu/view?usp=drive_link,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,
667,43,데일리 페이셜 크림,산뜻한나비914,건성,"보습, 여드름",2025.08.13,5,발림성이 정말 좋아요.,"발림성, , 빠른 흡수",4.42,,,
668,43,데일리 페이셜 크림,말랑한여우528,건성,보습,2026.05.21,4,발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"발림성, 빠른 흡수",4.42,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,,
669,43,데일리 페이셜 크림,사랑스런사자901,건성,보습,2026.01.08,5,'데일리 페이셜 크림' 사용 후기예요. 흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 다음에도 또 살 것 같아요.,"발림성, 빠른 흡수, ",4.42,,,
670,43,데일리 페이셜 크림,대담한곰돌이767,건성,"보습, 미백/잡티",2025.04.29,4,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,", 발림성, 빠른 흡수",4.42,,,
671,43,데일리 페이셜 크림,용감한기린800,건성,보습,2025.11.29,5,'데일리 페이셜 크림' 사용 후기예요. 발림성이 정말 좋아요. 추천하고 싶어요.,"발림성, , 빠른 흡수",4.42,https://drive.google.com/file/d/1lYUCzB6Ho7zOd6u8PeOXRLaq3KeVrP27/view?usp=drive_link,https://drive.google.com/file/d/1cz-lQ-DSVNouwbDl__2tcXET35ZPN41J/view?usp=drive_link,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link
672,43,데일리 페이셜 크림,느긋한강아지507,건성,보습,2025.12.29,5,'데일리 페이셜 크림' 사용 후기예요. 만족스러운 소비였어요.,"빠른 흡수, 발림성, ",4.42,https://drive.google.com/file/d/1M5A-262-r4HraoIzdtYEK1Jiw45w6VdE/view?usp=drive_link,,
673,43,데일리 페이셜 크림,산뜻한고래729,건성,보습,2026.07.05,3,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 그냥 무난하게 쓰고 있어요.,"빠른 흡수, 발림성, ",4.42,https://drive.google.com/file/d/1UrD3JSDNPqJrt425mPP5hXvrRIgLiWll/view?usp=drive_link,,
674,43,데일리 페이셜 크림,귀여운라쿤506,건성,보습,2026.07.05,5,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 만족스러운 소비였어요.,", 발림성, 빠른 흡수",4.42,https://drive.google.com/file/d/1yaabnbGKOUGpkQpMomWjVCBk91XvT5cy/view?usp=drive_link,,
675,43,데일리 페이셜 크림,엉뚱한수달468,건성,보습,2025.05.14,3,'데일리 페이셜 크림' 사용 후기예요. 발림성이 정말 좋아요. 그냥 무난하게 쓰고 있어요.,", 발림성",4.42,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,,
676,43,데일리 페이셜 크림,배부른부엉이878,건성,보습,2026.05.24,5,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 발림성, ",4.42,,,
677,43,데일리 페이셜 크림,용감한여우784,건성,보습,2025.01.20,5,'데일리 페이셜 크림' 사용 후기예요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"발림성, 빠른 흡수, ",4.42,https://drive.google.com/file/d/1yaabnbGKOUGpkQpMomWjVCBk91XvT5cy/view?usp=drive_link,https://drive.google.com/file/d/1cz-lQ-DSVNouwbDl__2tcXET35ZPN41J/view?usp=drive_link,
678,43,데일리 페이셜 크림,씩씩한수달564,건성,보습,2025.11.10,4,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,", 빠른 흡수, 발림성",4.42,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,,
679,43,데일리 페이셜 크림,사랑스런벌새433,건성,보습,2026.05.25,5,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 재구매 의사 있어요!,"발림성, , 빠른 흡수",4.42,https://drive.google.com/file/d/1cz-lQ-DSVNouwbDl__2tcXET35ZPN41J/view?usp=drive_link,,
680,43,데일리 페이셜 크림,행복한고래930,건성,보습,2025.06.29,5,발림성이 정말 좋아요. 추천하고 싶어요.,"발림성, ",4.42,,,
681,43,데일리 페이셜 크림,새침한펭귄937,건성,"보습, 미백/잡티",2025.01.30,3,'데일리 페이셜 크림' 사용 후기예요. 발림성이 정말 좋아요. 그냥 무난하게 쓰고 있어요.,"발림성, , 빠른 흡수",4.42,,,
682,43,데일리 페이셜 크림,든든한알파카777,건성,보습,2026.05.07,3,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 나쁘지 않아요.,"빠른 흡수, 발림성",4.42,https://drive.google.com/file/d/1yaabnbGKOUGpkQpMomWjVCBk91XvT5cy/view?usp=drive_link,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,
683,44,인테카 수딩 크림,새침한병아리300,복합성,민감성,2026.06.21,2,저자극이라 편하게 쓸 수 있었어요. 흡수가 빨라서 좋아요. 기대만큼은 아니었어요.,"저자극, 발림성, 빠른 흡수",3.8,,,
684,44,인테카 수딩 크림,산뜻한병아리876,건성,민감성,2025.04.17,5,흡수가 빨라서 좋아요. 가볍게 발려요. 발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 발림성, 가벼움, 저자극, 빠른 흡수",3.8,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,,
685,44,인테카 수딩 크림,귀여운고래625,건성,민감성,2025.12.05,5,'인테카 수딩 크림' 사용 후기예요. 가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 끈적임이 적어서 좋아요.,"끈적임 적음, 저자극, 발림성, 가벼움",3.8,,,
686,44,인테카 수딩 크림,대담한하마967,건성,민감성,2026.07.02,3,흡수가 빨라서 좋아요. 그냥 무난하게 쓰고 있어요.,"빠른 흡수, 끈적임 적음, 발림성",3.8,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,,
687,44,인테카 수딩 크림,사랑스런다람쥐344,복합성,민감성,2025.08.13,4,'인테카 수딩 크림' 사용 후기예요. 가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 재구매는 고민중이에요.,"끈적임 적음, 가벼움, 저자극",3.8,https://drive.google.com/file/d/1yaabnbGKOUGpkQpMomWjVCBk91XvT5cy/view?usp=drive_link,,
688,46,모이스춰 닥터 크림,말랑한강아지358,수부지,없음,2025.07.10,5,'모이스춰 닥터 크림' 사용 후기예요. 가볍게 발려요. 산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 다음에도 또 살 것 같아요.,"가벼움, 발림성, 산뜻함",4.28,,,
689,46,모이스춰 닥터 크림,대담한거북이86,수부지,보습,2025.10.01,5,산뜻하게 발려서 좋아요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 빠른 흡수, 산뜻함, 가벼움",4.28,,,
690,46,모이스춰 닥터 크림,씩씩한강아지935,수부지,"보습, 민감성",2025.01.23,5,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요.,"발림성, 산뜻함, 빠른 흡수, 끈적임 적음, 가벼움",4.28,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,,
691,46,모이스춰 닥터 크림,상냥한라쿤189,수부지,"보습, 민감성",2025.07.18,5,끈적임이 적어서 좋아요. 가볍게 발려요. 추천하고 싶어요.,"가벼움, 산뜻함, 빠른 흡수, 끈적임 적음, 발림성",4.28,,,
692,46,모이스춰 닥터 크림,든든한거북이241,수부지,"보습, 민감성",2026.06.11,4,가볍게 발려요. 발림성이 정말 좋아요. 재구매는 고민중이에요.,"발림성, 가벼움, 빠른 흡수",4.28,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,
693,46,모이스춰 닥터 크림,활발한호랑이790,수부지,"보습, 민감성, 여드름",2025.08.10,5,'모이스춰 닥터 크림' 사용 후기예요. 끈적임이 적어서 좋아요. 가볍게 발려요.,"끈적임 적음, 가벼움",4.28,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,,
694,46,모이스춰 닥터 크림,소심한토끼667,수부지,"민감성, 보습",2026.07.15,5,가볍게 발려요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"가벼움, 끈적임 적음, 빠른 흡수, 산뜻함",4.28,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,,
695,46,모이스춰 닥터 크림,엉뚱발랄한라쿤798,수부지,"민감성, 보습",2026.06.18,3,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 끈적임이 적어서 좋아요. 나쁘지 않아요.,"빠른 흡수, 산뜻함, 끈적임 적음, 발림성, 가벼움",4.28,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,,
696,46,모이스춰 닥터 크림,소심한두더지264,수부지,민감성,2026.03.07,4,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 끈적임 적음, 발림성, 산뜻함",4.28,https://drive.google.com/file/d/15a_nX6SX7SPu1OjXn21OIbEzh4gTDZAb/view?usp=drive_link,,
697,46,모이스춰 닥터 크림,대담한여우297,수부지,"보습, 민감성",2025.04.22,4,끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"가벼움, 빠른 흡수, 끈적임 적음, 산뜻함, 발림성",4.28,,,
698,46,모이스춰 닥터 크림,명랑한거북이783,수부지,보습,2025.05.15,3,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 끈적임이 적어서 좋아요.,"가벼움, 끈적임 적음, 발림성",4.28,,,
699,46,모이스춰 닥터 크림,새침한거북이846,수부지,보습,2026.07.11,3,'모이스춰 닥터 크림' 사용 후기예요. 가볍게 발려요. 발림성이 정말 좋아요. 나쁘지 않아요.,"산뜻함, 발림성, 빠른 흡수, 가벼움",4.28,https://drive.google.com/file/d/1SUqbqJR8Y1pLJ2Ky20fDAm7n_XeyZ3Tu/view?usp=drive_link,https://drive.google.com/file/d/15a_nX6SX7SPu1OjXn21OIbEzh4gTDZAb/view?usp=drive_link,
700,46,모이스춰 닥터 크림,촉촉한벌새523,수부지,보습,2025.02.28,3,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 가볍게 발려요.,"발림성, 가벼움",4.28,,,
701,46,모이스춰 닥터 크림,엉뚱발랄한판다442,수부지,"민감성, 모공",2026.01.26,5,끈적임이 적어서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 가벼움, 끈적임 적음, 발림성",4.28,https://drive.google.com/file/d/1SUqbqJR8Y1pLJ2Ky20fDAm7n_XeyZ3Tu/view?usp=drive_link,,
702,46,모이스춰 닥터 크림,느긋한펭귄106,수부지,"민감성, 보습",2025.12.25,4,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"산뜻함, 발림성, 끈적임 적음",4.28,,,
703,46,모이스춰 닥터 크림,귀여운거북이976,수부지,"보습, 민감성",2026.06.25,4,'모이스춰 닥터 크림' 사용 후기예요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 가벼움, 발림성, 산뜻함",4.28,,,
704,46,모이스춰 닥터 크림,잠많은오리131,수부지,"민감성, 보습",2025.02.14,5,'모이스춰 닥터 크림' 사용 후기예요. 발림성이 정말 좋아요. 가볍게 발려요. 흡수가 빨라서 좋아요.,"가벼움, 산뜻함, 빠른 흡수, 발림성",4.28,https://drive.google.com/file/d/179Y6CDPKyzYvJ44cQ4f0InNAtV9ZZc7F/view?usp=drive_link,,
705,46,모이스춰 닥터 크림,게으른기린792,수부지,민감성,2025.01.26,5,'모이스춰 닥터 크림' 사용 후기예요. 가볍게 발려요. 끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 끈적임 적음, 가벼움, 발림성",4.28,,,
706,47,마다가스카르 리얼 수분크림,반짝이는얼룩말670,건성,"민감성, 보습",2026.05.18,4,저자극이라 편하게 쓸 수 있었어요. 가볍게 발려요. 재구매 의사 있어요!,"저자극, 빠른 흡수, 가벼움",4.21,https://drive.google.com/file/d/179Y6CDPKyzYvJ44cQ4f0InNAtV9ZZc7F/view?usp=drive_link,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link
707,47,마다가스카르 리얼 수분크림,엉뚱한강아지402,건성,"민감성, 여드름",2025.05.15,4,가볍게 발려요. 만족스러운 소비였어요.,"빠른 흡수, 가벼움, 산뜻함 끈적임 적음, 저자극, 적은 유분감",4.21,,,
708,47,마다가스카르 리얼 수분크림,게으른수달664,수부지,민감성,2026.04.03,5,흡수가 빨라서 좋아요. 유분감이 적어서 산뜻해요.,"산뜻함 끈적임 적음, 빠른 흡수, 가벼움, 적은 유분감",4.21,,,
709,47,마다가스카르 리얼 수분크림,게으른하마740,수부지,"보습, 민감성, 탄력/주름",2026.05.12,4,'마다가스카르 리얼 수분크림' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 재구매 의사 있어요!,"산뜻함 끈적임 적음, 가벼움, 저자극, 적은 유분감, 빠른 흡수",4.21,,,
710,47,마다가스카르 리얼 수분크림,용감한고슴도치497,수부지,"민감성, 여드름, 보습",2026.05.27,2,'마다가스카르 리얼 수분크림' 사용 후기예요. 가볍게 발려요. 기대만큼은 아니었어요.,"산뜻함 끈적임 적음, 저자극, 가벼움",4.21,https://drive.google.com/file/d/1lne1VHIt9sHC-MFp2o0z9QuyjG6G_HfI/view?usp=drive_link,,
711,47,마다가스카르 리얼 수분크림,익명의강아지225,수부지,"보습, 민감성",2026.07.11,3,그냥 무난하게 쓰고 있어요.,"산뜻함 끈적임 적음, 빠른 흡수, 저자극, 적은 유분감",4.21,,,
712,47,마다가스카르 리얼 수분크림,대담한토끼581,수부지,여드름,2025.03.10,5,'마다가스카르 리얼 수분크림' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요.,"저자극, 가벼움",4.21,https://drive.google.com/file/d/1pENfa0k5k0x5p-OEWdsLLnnzvacGKTRa/view?usp=drive_link,https://drive.google.com/file/d/15a_nX6SX7SPu1OjXn21OIbEzh4gTDZAb/view?usp=drive_link,
713,47,마다가스카르 리얼 수분크림,몽글몽글한토끼663,수부지,"여드름, 보습",2025.05.13,5,저자극이라 편하게 쓸 수 있었어요. 만족스러운 소비였어요.,"산뜻함 끈적임 적음, 저자극",4.21,https://drive.google.com/file/d/1SUqbqJR8Y1pLJ2Ky20fDAm7n_XeyZ3Tu/view?usp=drive_link,https://drive.google.com/file/d/1YGnjAS_0imBEvyixy1Q7HYkGfoPru6OX/view?usp=drive_link,
714,47,마다가스카르 리얼 수분크림,상냥한하마433,수부지,없음,2025.10.24,4,'마다가스카르 리얼 수분크림' 사용 후기예요. 유분감이 적어서 산뜻해요. 저자극이라 편하게 쓸 수 있었어요.,"산뜻함 끈적임 적음, 가벼움, 적은 유분감, 저자극",4.21,https://drive.google.com/file/d/1mjlJ-KPW00rIVQ4636mMbVhFblVVDrNd/view?usp=drive_link,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,
715,47,마다가스카르 리얼 수분크림,엉뚱한펭귄151,수부지,없음,2025.03.27,5,가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 다음에도 또 살 것 같아요.,"적은 유분감, 저자극, 빠른 흡수, 산뜻함 끈적임 적음, 가벼움",4.21,https://drive.google.com/file/d/13TCVty_fL5N_B9AcJd9LUnYETdTtjYue/view?usp=drive_link,,
716,47,마다가스카르 리얼 수분크림,느긋한오리338,건성,민감성,2025.01.11,4,'마다가스카르 리얼 수분크림' 사용 후기예요. 가볍게 발려요. 재구매는 고민중이에요.,"가벼움, 산뜻함 끈적임 적음",4.21,https://drive.google.com/file/d/15GRqQfCILjIOGRYtKQsUZWGYNBNlynYI/view?usp=drive_link,,
717,47,마다가스카르 리얼 수분크림,반짝이는코알라806,건성,보습,2026.04.20,5,흡수가 빨라서 좋아요. 유분감이 적어서 산뜻해요. 다음에도 또 살 것 같아요.,"산뜻함 끈적임 적음, 저자극, 빠른 흡수, 가벼움, 적은 유분감",4.21,,,
